Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Activated,Drinking Fountain Spray Adapter,Aqueduct Walk,Morton Plgd,X001A,X001A-01,Bronx,X-05,1007988.00730197,249387.090842306
Activated,Buckner Box Spray Adapter,Bill Rainey Park,,X255,X255,Bronx,X-02,1012741.56931713,237906.679748058
Activated,Buckner Box Spray Adapter,Tiffany Playground,,X190,X190,Bronx,X-02,1013528.49720522,239794.054910317
Activated,CS Spray Adapter,Magenta Playground,,X214,X214,Bronx,X-12,1020823.6286123,257626.703300058
Activated,Buckner Box Spray Adapter,Rev J Polite Playground,,X116,X116,Bronx,X-02,1012505.34964522,240516.455040305
Not Yet Activated,Misting Station,P.S. 155 Playground,,M239,M239,Manhattan,M-11,1002131.40254511,229817.835690713
Activated,Buckner Box Spray Adapter,Watson Gleason Playground,,X124,X124,Bronx,X-09,1020567.0582593,240854.799179896
Activated,Ground Hydrant Spray Adapter,Lyons Square Park,,X029,X029,Bronx,X-02,1015203.54700471,238904.856229394
Activated,Buckner Box Spray Adapter,Vidalia Park,,X266,X266,Bronx,X-06,1017055.19553238,246862.266495645
Activated,Buckner Box Spray Adapter,Vidalia Park,,X266,X266,Bronx,X-06,1016993.20549888,246714.609966814
Not Yet Activated,Other,Rev Lena Irons Unity Park,,X286,X286,Bronx,X-03,1010025.94121822,242030.781079888
Activated,Misting Station,Howard Bennett Playground,,M217,M217,Manhattan,M-10,1001241.43221247,235672.071684479
Activated,Buckner Box Spray Adapter,Rev Lena Irons Unity Park,,X286,X286,Bronx,X-03,1010121.65821838,242107.345559313
Activated,Drinking Fountain Spray Adapter,Benjamin Gladstone Square,,X022,X022,Bronx,X-02,1014435.79361897,240004.637166306
Broken,Misting Station,Heckscher Playground,,B139,B139,Brooklyn,B-04,1006937.79581971,192476.639046639
Broken,Misting Station,Pulaski Playground,,B322,B322,Brooklyn,B-03,1000367.2344858,191911.255991056
Activated,Misting Station,Sheltering Arms Playground,,M190,M190,Manhattan,M-09,996617.10320656,236195.271097391
Activated,Misting Station,Lt. Wm. Tighe Triangle,,M180,M180,Manhattan,M-12,1004127.15445938,254744.935769647
Activated,Misting Station,Highbridge Park,,M037,M037,Manhattan,M-12A,1002752.44887547,246867.808807387
Activated,Buckner Box Spray Adapter,Washington Park,,X280,X280,Bronx,X-06,1013793.69483755,251150.307788312
Activated,Misting Station,Railroad Park,,X032,X032,Bronx,X-03,1007693.16996513,239854.388779148
Activated,Misting Station,Railroad Park,,X032,X032,Bronx,X-03,1007614.54545046,239901.280745729
Activated,Buckner Box Spray Adapter,Rose Hill Park,,X042,X042,Bronx,X-06,1014556.13655413,253378.870588392
Activated,Other,Fox Playground,,X247,X247,Bronx,X-02,1012380.24786131,236279.432674482
Activated,Buckner Box Spray Adapter,Lozada Playground,,X131,X131,Bronx,X-01,1004962.75515039,233567.235342979
Activated,Misting Station,D'Auria-Murphy Triangle,,X068,X068,Bronx,X-06,1014939.71846413,250177.254288226
Activated,Misting Station,Fred Samuel Playground,,M160,M160,Manhattan,M-10,1001013.0009108,236917.189601063
Activated,Misting Station,William McCray Playground,,M110,M110,Manhattan,M-10,1001512.80666972,236398.724102556
Broken,Misting Station,Powell Playground,,B156,B156,Brooklyn,B-16,1010663.41566506,183870.154619231
Activated,Drinking Fountain Spray Adapter,Marconi Park,,Q127,Q127,Queens,Q-12,1040966.73694805,192195.236394226
